itjuzi_id,itjuzi_name,haituo_name,haituo_id,isrepeat
4951,创翼创投,创翼创投,29184,
4952,北京生活性服务业基金,北京生活性服务业基金,3391,
4953,元晓资本,元晓资本,3495,
4954,东润创投,查无,,
4955,致德创投,查无,,
4956,润盛基金,查无,,
4957,鑫东森创投,查无,,
4958,鼎川投资,查无,,
4959,浙江金桥创投,浙江金桥创业投资有限公司,24270,
4960,联富投资,查无,,
4961,易生基金,查无,,
4962,宏洲创投,查无,,
4964,中城赋比兴天津,中城赋比兴（天津）股权投资基金管理合伙企业,23715,
4965,杭州驷腾投资,查无,,
4966,爱康创投,查无,,
4967,凯石投资,上海凯石投资管理有限公司,23812,
4968,泰和创投,泰和创投,7927,
4969,文德创投,查无,,
4970,泰兴高新投,查无,,
4971,星鼎投资,查无,,
4972,合和百富投资,查无,,
4973,神能投资,查无,,
4974,冠基投资,查无,,
4975,中化汇富,中化汇富,29278,
4976,苏州紫光创投,查无,,
4977,富坤中技,北京富坤中技投资管理有限公司,24023,
4978,江苏瑞峰投资,查无,,
4979,重庆富坤,重庆富坤投资顾问有限公司,24508,
4980,富堃投资,查无,,
4981,宏兆集团-宏兆基金,宏兆集团-宏兆基金,3781,
4982,宜兴科投,查无,,
4983,德信资本,深圳市德信创业投资管理有限公司,24075,
4984,鑫道资本,查无,,
4985,莲诚投资,查无,,
4986,九华创投,查无,,
4987,南泰创投,南泰创投,29078,
4988,杉杉望新科投,查无,,
4989,德信联合,查无,,
4990,中科精英,查无,,
4991,上实投资,上实投资,29307,
4992,九吾医疗投资,查无,,
4993,杭州多融创投,杭州多融创投,3817,
4994,安科生物,安徽安科生物工程(集团)股份有限公司,10446,
4995,世纪金源,世纪金源,8159,
4996,华众沃赋,查无,,
4997,香樟投资,查无,,
4998,阳光厚土投资,查无,,
5000,金社投资,查无,,
5001,杭嘉湖技术开发,查无,,
5002,黄山旅游集团,黄山旅游发展股份有限公司,2662,
5003,伙星人投资,伙星人投资,3538,
5004,中金石创投,查无,,
5005,领投会中国投资人中心,查无,,
5006,敦和创投,敦和创投,29432,
5007,苏州高投创投,查无,,
5008,敦和投资,查无,,
5009,海泰丰瑞,查无,,
5010,天财资本,天财资本,3839,
5011,蚌埠科投,查无,,
5012,铸龙投资,查无,,
5013,卓景创投,查无,,
5014,盈瓯创投,查无,,
5015,明德天盛,查无,,
5016,哈德森扬州,查无,,
5017,联众创投,查无,,
5018,国发融富,苏州国发融富创业投资管理企业（有限合伙）,23941,
5019,福汇投资,查无,,
5020,新华联集团,新华联集团,3007,
5021,维新万隆,查无,,
5022,中民投,中民投资本管理有限公司,4453,
5023,沃金投资,查无,,
5024,国旺投资,查无,,
5025,仙瞳资本,仙瞳资本,3731,
5026,鸿景创投,鸿景创投,29390,
5027,金河科投,查无,,
5028,上海中小创投,查无,,
5029,正旺创投,查无,,
5030,宝来德资产,查无,,
5031,中泰创投,查无,,
5032,龙泽资本,龙泽资本,29411,
5033,华严创投,查无,,
5034,浙商嘉海,查无,,
5035,华协创投,查无,,
5036,中盈投资,查无,,
5037,长城亿泰,查无,,
5038,盛维创投,盛维创投,13909,
5039,乾然资本,查无,,
5040,汉景家族办公室,汉景家族办公室,3590,
5041,清科母基金,查无,,
5042,新力世纪创投,查无,,
5043,智和资本创投,智和资本创投,29255,
5044,蓉锦华创,查无,,
5045,宏泰中汇,查无,,
5046,上同投资,查无,,
5047,鑫海投资,查无,,
5048,共生投资,查无,,
5049,壹道投资,查无,,
5050,一通投资,查无,,
5051,工顺投资,工顺投资,28812,
5052,乐峰量子,查无,,
5053,创世资本,查无,,
5054,融磊资本,查无,,
5056,天安泰投资,北京天安泰股权投资管理有限责任公司,23978,
5057,海之龙基金,查无,,
5058,汇众数媒,查无,,
5059,瑞璟创投,苏州瑞璟创业投资企业（有限合伙）,24328,
5060,梦想者电影,梦想者电影,8117,
5061,燊乾投资,燊乾投资,29002,
5062,振华创投,查无,,
5063,恒成创投,查无,,
5064,华慧创投,华慧创投,29364,
5065,纵任创投,查无,,
5066,维梧成都,维梧成都,28527,
5067,晟丰创投,查无,,
5068,大和资本,查无,,
5069,德诚资本,德诚资本,5066,
